SOURCE,Code,Naam,SAMENGESTELDE NAAM,GEFACTUREERD: indien aankoopfactuur,Aantal gewonnen deals,Aantal verloren deals,Aantal open deals ,STATUS PROJECTS OR DEALS,Klantstatus EXACT,COMMENT HANNE,STATUS JUIST,COMMENT PIETER,Plaats,Land,Klant,Leverancier,Contactpersoon,Btw-systeem overheid,Concurrent,Moederonderneming,Opmerkingen,Sector,Subsector,Uitsluiten van mailing,Verdeler,Website,Verdeler (Ja/Nee),Classificatie 1: Doelgroep,Classificatie 2: Product,Classificatie 3: Klantstatus SB,Classificatie 4: PRIO,Adres,Bedrijfsgrootte,BIM Vacatures jobdigger,BIM linkedin salesnav,BIM vacatures bizzy,klasse678,bizzy andere,website domain,activiiteiten (bizzy),sector (linkedin)
Exact,506,VAN DEN BROECK,506 - VAN DEN BROECK,Factuur,0,0,2,Inactieve klant,Klant,Klopt: inactieve klant,Inactieve klant,,Wuustwezel,België,V, ,Kris Van den Broeck, , ,,,F - Bouwnijverheid,43 - Gespecialiseerde bouwwerkzaamheden, ,,, ,Installateur,Simplebim,6_Suspect OVZ,2_middenlange termijn (6-12m),Bredabaan 47-49,,,,,,,,,
Exact,459,DETHIER ONTWIKKELING,459 - DETHIER ONTWIKKELING,Factuur,0,0,1,Inactieve klant,Klant,Klopt: inactieve klant,Inactieve klant,,Alken,België,V, ,Bart Coenegrachts, , ,,,F - Bouwnijverheid,41 - Bouw van gebouwen; ontwikkeling van bouwprojecten, ,,, ,Aannemers,Simplebim,5_Prospect OVZ,1_Korte termijn (0-6m),Industrieterrein Kolmen 1107,,,,,,,,,
Exact,268,CENTRE SCIENTIFIQUE ET TECHNIQUE DE LA CONSTRUCTIO,268 - CENTRE SCIENTIFIQUE ET TECHNIQUE DE LA CONSTRUCTIO,Factuur,2,0,0,Inactieve klant,Klant,Klopt: inactieve klant,Inactieve klant,,Brussel,België,V,V,, , ,,,M - Vrije beroepen en wetenschappelijke en technische activiteiten,72 - Speur- en ontwikkelingswerk op wetenschappelijk gebied, ,,www.buildwise.be/nl/, ,Lobby,Simplebim,3_Niet actieve klant Datacubist,1_Korte termijn (0-6m),Lombardstraat 42,,,,,,,buildwise,,
Exact,273,AXIMA,273 - AXIMA,Factuur,1,0,0,Inactieve klant,Klant,Klopt: inactieve klant,Klant ,,Bruxelles,België,V, ,Facturatie, , ,,,F - Bouwnijverheid,43 - Gespecialiseerde bouwwerkzaamheden, ,,, ,Installateur,Simplebim,6_Suspect OVZ,1_Korte termijn (0-6m),Simon Bolivarlaan 34,,,,,,,,,
Exact,290,Ken Lambrechts Artist Management,290 - Ken Lambrechts Artist Management,Factuur,0,0,0,Inactieve klant,Klant,Klopt: inactieve klant,Inactieve klant,,Kapellen,België,V, ,Ken Lambrechts, , ,,,,, ,,, ,Geen doelgroep,,,,Weerstandersdreef 5,,,,,,,,,
Exact,298,ROOILIJN ARCHITECTUUR,298 - ROOILIJN ARCHITECTUUR,Factuur,0,0,0,Inactieve klant,Klant,Klopt: inactieve klant,Inactieve klant,,Antwerpen,België,V, ,Luc Roegiers, , ,,,M - Vrije beroepen en wetenschappelijke en technische activiteiten,71 - Architecten en ingenieurs; technische testen en toetsen, ,,www.rooilijn.be, ,Architecten,Techniekenstudies,,,Gitschotellei 250 24,,,,,,,rooilijn,,
Exact,304,"Van Bourgognie, Jasper","304 - Van Bourgognie, Jasper",Factuur,0,0,0,Inactieve klant,Klant,Klopt: inactieve klant,Inactieve klant,,Antwerpen,België,V, ,Lene Jacobs, , ,,,,, ,,, ,Geen doelgroep,,,,Topaasstraat 26,,,,,,,,,
Exact,309,ZIDINVEST,309 - ZIDINVEST,Factuur,0,0,0,Inactieve klant,Klant,Klopt: inactieve klant,Inactieve klant,,Schilde,België,V, ,Yannick De Wael, , ,,,L - Exploitatie van en handel in onroerend goed,68 - Exploitatie van en handel in onroerend goed, ,,, ,Ontwikkelaars,Techniekenstudies,,,Vloeyenbergdreef 22B,,,,,,,,,
Exact,311,"C-KWADRAAT,ARCHITECTUUR,MOBILITEIT & ONDERZOEK","311 - C-KWADRAAT,ARCHITECTUUR,MOBILITEIT & ONDERZOEK",Factuur,0,0,0,Inactieve klant,Klant,Klopt: inactieve klant,Inactieve klant,,Heusden-Zolder,België,V, ,Valère Ceyssens, , ,,,M - Vrije beroepen en wetenschappelijke en technische activiteiten,71 - Architecten en ingenieurs; technische testen en toetsen, ,,www.c-kwadraat.be, ,Architecten,Techniekenstudies,,,Schansstraat 66,,,,,,,c-kwadraat,,
Exact,312,SMAK ARCHITECTS,312 - SMAK ARCHITECTS,Factuur,1,0,0,Inactieve klant,Klant,Klopt: inactieve klant,Inactieve klant,,Antwerpen,België,V, ,Mathias Kerremans, , ,,,M - Vrije beroepen en wetenschappelijke en technische activiteiten,71 - Architecten en ingenieurs; technische testen en toetsen, ,,www.smakarchitects.eu, ,Architecten,Simplebim,6_Suspect OVZ,1_Korte termijn (0-6m),Rysheuvelsstraat 38,,,,,,,smakarchitects,,
Exact,329,Gemeente Zwijndrecht,329 - Gemeente Zwijndrecht,Factuur,0,0,0,Inactieve klant,Klant,Klopt: inactieve klant,Inactieve klant,,Zwijndrecht,België,V,V,Sam Audenaert, , ,,,O - Openbaar bestuur en defensie; verplichte sociale verzekeringen,84 - Openbaar bestuur en defensie; verplichte sociale verzekeringen, ,,, ,Overheden,,,,Binnenplein 1,,,,,,,,,
Exact,352,SGS BELGIUM,352 - SGS BELGIUM,Factuur,0,0,0,Inactieve klant,Klant,Klopt: inactieve klant,Inactieve klant,,Antwerpen,België,V, ,Jan Verdonck, , ,,,C - Industrie,32 - Overige industrie, ,,, ,Industrie,,,,Noorderlaan 87,,,,,,SGS BELGIUM,,Engineering,
Exact,411,De Maeyer - Saman,411 - De Maeyer - Saman,Factuur,0,0,0,Inactieve klant,Klant,Klopt: inactieve klant,Inactieve klant,,Kallo (Beveren-Waas),België,V, ,Peter De Maeyer, , ,,,,, ,,, ,Geen doelgroep,,,,Fabriekstraat 65,,,,,,,,,
Exact,415,Thomaes,415 - Thomaes,Factuur,1,0,0,Inactieve klant,Klant,Klopt: inactieve klant,Inactieve klant,,Edegem,België,V, ,Pieter Thomaes, , ,,,,, ,,, ,Geen doelgroep,,,,Ing. Haesaertlaan 12,,,,,,,,,
Exact,420,RANT Architecten,420 - RANT Architecten,Factuur,1,0,0,Inactieve klant,Klant,Klopt: inactieve klant,Inactieve klant,,Antwerpen,België,V, ,Seppe Jespers, , ,,,M - Vrije beroepen en wetenschappelijke en technische activiteiten,71 - Architecten en ingenieurs; technische testen en toetsen, ,,www.rant-architecten.be, ,Architecten,Techniekenstudies,,,Greinstraat 53 bus1,2 - 4 medewerkers,,,,,,rant-architecten,,
Exact,428,HOOYBERGHS,428 - HOOYBERGHS,Factuur,1,1,1,Inactieve klant,Klant,Klopt: inactieve klant,Inactieve klant,,Arendonk,België,V, ,Henk Van Oosterhout, , ,,,F - Bouwnijverheid,41 - Bouw van gebouwen; ontwikkeling van bouwprojecten, ,,www.hooyberghsbouw.be, ,Aannemers,Simplebim,5_Prospect OVZ,1_Korte termijn (0-6m),Hoge Mauw 1510,,,,,,HOOYBERGHS,hooyberghsbouw,Bouw - Woningbouw,
Exact,436,Deckers-Michielsen,436 - Deckers-Michielsen,Factuur,0,0,0,Inactieve klant,Klant,Klopt: inactieve klant,Inactieve klant,,Borgerhout (Antwerpen),België,V, ,Michiel Deckers, , ,,,,, ,,, ,Geen doelgroep,,,,Van Den Hautelei 53,,,,,,,,,
Exact,439,Van Damme - Jaeken,439 - Van Damme - Jaeken,Factuur,0,0,0,Inactieve klant,Klant,Klopt: inactieve klant,Inactieve klant,,Reet,België,V, ,Marleen Opdebeeck, , ,,,,, ,,, ,Geen doelgroep,,,,Hortensiastraat 15,,,,,,,,,
Exact,440,DAC Plus,440 - DAC Plus,Factuur,0,0,0,Inactieve klant,Klant,Klopt: inactieve klant,Inactieve klant,,Beveren,België,V, ,Ciamberlani, , ,,,M - Vrije beroepen en wetenschappelijke en technische activiteiten,75 - Veterinaire diensten, ,,, ,,,,,Lindenlaan 178,,,,,,,,,
Exact,461,Picard - Lambin,461 - Picard - Lambin,Factuur,0,0,0,Inactieve klant,Klant,Klopt: inactieve klant,Inactieve klant,,Antwerpen,België,V, ,Frederik Picard, , ,,,,, ,,, ,Geen doelgroep,,,,Wetstraat 81,,,,,,,,,
Exact,469,DERYCKER DANIEL,469 - DERYCKER DANIEL,Factuur,1,0,0,Inactieve klant,Klant,Klopt: inactieve klant,Inactieve klant,,Antwerpen,België,V, ,Derycker, , ,,,G - Groot- en detailhandel; reparatie van auto's en motorfietsen,"47 - Detailhandel, met uitzondering van de handel in auto's en motorfietsen", ,,, ,Geen doelgroep,,,,Lange Slachterijstraat 73,,,,,,,,,
Exact,490,HOUBEN,490 - HOUBEN,Factuur,1,1,1,Inactieve klant,Klant,Klopt: inactieve klant,Inactieve klant,,Hasselt,België,V, ,Jochen Willen, , ,,,F - Bouwnijverheid,41 - Bouw van gebouwen; ontwikkeling van bouwprojecten, ,,, ,Aannemers,Simplebim,5_Prospect OVZ,1_Korte termijn (0-6m),Prins-Bisschopssingel 36 5,,,,,,,,,
Exact,492,BASF Antwerpen,492 - BASF Antwerpen,Factuur,0,0,0,Inactieve klant,Klant,Klopt: inactieve klant,Inactieve klant,,Antwerpen,België,V, ,Dries Engelen, , ,,,C - Industrie,20 - Vervaardiging van chemische producten, ,,, ,Industrie,,,,Scheldelaan 600,,,,,,BASF Antwerpen,,Vervaardiging van chemische producten,
Exact,493,architecten- en studiebureau DENC-STUDIO,493 - architecten- en studiebureau DENC-STUDIO,Factuur,1,0,0,Inactieve klant,Klant,Klopt: inactieve klant,Inactieve klant,,Gent,België,V, ,Thomas Delameillieure, , ,,,M - Vrije beroepen en wetenschappelijke en technische activiteiten,71 - Architecten en ingenieurs; technische testen en toetsen, ,,www.denc-studio.be, ,Architecten,Techniekenstudies,,,Dublinstraat 35 11,10 - 19 medewerkers,,,,,,denc-studio,,
Exact,539,ODCM GROUP,539 - ODCM GROUP,Factuur,1,0,0,Inactieve klant,Klant,Klopt: inactieve klant,Inactieve klant,,Beringen,België,V, ,Steffen Vandezande, ,V,,,M - Vrije beroepen en wetenschappelijke en technische activiteiten,74 - Overige gespecialiseerde wetenschappelijke en technische activiteiten, ,,www.odcmgroup.com/, ,Freelancers,Simplebim,6_Suspect OVZ,1_Korte termijn (0-6m),Albert I laan 52,,,,,,,odcmgroup,,
Exact,550,GAFPA BUREAU VOOR ARCHITECTUUR EN STEDENBOUW,550 - GAFPA BUREAU VOOR ARCHITECTUUR EN STEDENBOUW,Factuur,1,1,0,Inactieve klant,Klant,Klopt: inactieve klant,Inactieve klant,,Gent,België,V, ,Floris De Bruyn, , ,,Rechtsvorm: Besloten vennootschap met beperkte aansprakelijkheid (Private limited liability company),M - Vrije beroepen en wetenschappelijke en technische activiteiten,71 - Architecten en ingenieurs; technische testen en toetsen, ,,www.gafpa.net, ,Architecten,Techniekenstudies,,,Nieuwevaart 118/A/ 102,5 - 9 medewerkers,,,,,,gafpa,,
Exact,552,Jeroen De Bleser,552 - Jeroen De Bleser,Factuur,0,0,0,Inactieve klant,Klant,Klopt: inactieve klant,Inactieve klant,,Antwerpen,België,V, ,Jeroen De Bleser, , ,,,,, ,,, ,Geen doelgroep,,,,Dambruggestraat 173,,,,,,,,,
Exact,558,Trias architecten,558 - Trias architecten,Factuur,1,0,0,Inactieve klant,Klant,Klopt: inactieve klant,Inactieve klant,,Turnhout,België,V, ,Maarten Peeters, , ,,Rechtsvorm: Besloten vennootschap met beperkte aansprakelijkheid (Private limited liability company),M - Vrije beroepen en wetenschappelijke en technische activiteiten,71 - Architecten en ingenieurs; technische testen en toetsen, ,,www.triasarchitecten.be/home, ,Architecten,Techniekenstudies,,,Steenweg op Gierle 81 3,5 - 9 medewerkers,,,,,,triasarchitecten,,
Exact,636,THV NIRAS IPM,636 - THV NIRAS IPM,Factuur,0,0,0,Inactieve klant,Klant,Klopt: inactieve klant,Inactieve klant,,Kontich,België,V, ,Jonathan Meylemans, , ,,Rechtsvorm: Vennootschap of vereniging zonder rechtspersoonlijkheid (Unincorporated company or association),F - Bouwnijverheid,41 - Bouw van gebouwen; ontwikkeling van bouwprojecten, ,,, ,Aannemers,Geen product,,,Kartuizersweg 1,,,,,,,,,
Exact,643,FRIDAY Office For Architecture,643 - FRIDAY Office For Architecture,Factuur,2,1,1,Inactieve klant,Klant,Klopt: inactieve klant,Inactieve klant,,Antwerpen,België,V, ,Sacha Bratkowski, , ,,Rechtsvorm: Besloten vennootschap met beperkte aansprakelijkheid (Private limited liability company),M - Vrije beroepen en wetenschappelijke en technische activiteiten,71 - Architecten en ingenieurs; technische testen en toetsen, ,,, ,Architecten,Techniekenstudies,,,Gitschotellei 141,2 - 4 medewerkers,,,,,,,,
Exact,655,Soudal,655 - Soudal,Factuur,1,0,0,Inactieve klant,Klant,Klopt: inactieve klant,Inactieve klant,,Turnhout,België,V, ,Koen Anthierens, , ,,Rechtsvorm: Naamloze vennootschap (Limited company)Rechtsvorm: Naamloze vennootschap (Limited company),C - Industrie,20 - Vervaardiging van chemische producten, ,,www.soudalgroup.com, ,Industrie,Modelleren Technieken,,,Everdongenlaan 20,,,,,,,soudalgroup,,
Exact,709,Immo De Zevenster,709 - Immo De Zevenster,Factuur,0,0,0,Inactieve klant,Klant,Klopt: inactieve klant,Inactieve klant,,Sint-Gillis-Waas,België,V, ,, , ,,Rechtsvorm: Besloten vennootschap (Private Limited Company),F - Bouwnijverheid,41 - Bouw van gebouwen; ontwikkeling van bouwprojecten, ,,, ,Ontwikkelaars,Techniekenstudies,,,Heerweg(SGW) 1,,,,,,,,,
Exact,719,Dillen Invest,719 - Dillen Invest,Factuur,1,0,1,Inactieve klant,Klant,Klopt: inactieve klant,Inactieve klant,,Balen,België,V, ,Ive Vranckx, , ,,Rechtsvorm: Besloten vennootschap (Private Limited Company),F - Bouwnijverheid,41 - Bouw van gebouwen; ontwikkeling van bouwprojecten, ,,www.dillen.be/, ,Aannemers,Simplebim,6_Suspect OVZ,2_middenlange termijn (6-12m),Puttestraat 15,,,,,,,dillen,,
Exact,946,ALGEMENE BOUW MAES,946 - ALGEMENE BOUW MAES,Factuur,1,0,0,Inactieve klant,Klant,Klopt: inactieve klant,Inactieve klant,,Gent,België,V, ,Joren Brys, , ,,Rechtsvorm: Naamloze vennootschap (Limited company),F - Bouwnijverheid,41 - Bouw van gebouwen; ontwikkeling van bouwprojecten, ,,www.groepvanroey.be/nl, ,Aannemers,Simplebim,4_Klant OVZ,1_Korte termijn (0-6m),Foreestelaan 86,,,,,,ALGEMENE BOUW MAES,groepvanroey,Bouw - Woningbouw,
Exact,960,Palais 48,960 - Palais 48,Factuur,0,0,0,Inactieve klant,Klant,Klopt: inactieve klant,Inactieve klant,,Antwerpen,België,V, ,Rob Anthonissen, , ,,Rechtsvorm: Naamloze vennootschap (Limited company),F - Bouwnijverheid,41 - Bouw van gebouwen; ontwikkeling van bouwprojecten, ,,, ,Ontwikkelaars,Modelleren Technieken,4_Klant OVZ,1_Korte termijn (0-6m),Mechelsesteenweg 271,,,,,,,,,
Exact,1006,DURABRIK BOUWBEDRIJVEN - DURABRIK ENTREPRISES DE C,1006 - DURABRIK BOUWBEDRIJVEN - DURABRIK ENTREPRISES DE C,Factuur,0,1,0,Inactieve klant,Klant,Klopt: inactieve klant,Inactieve klant,,Gent,België,V, ,Finnegan De Vuyst, , ,,Rechtsvorm: Naamloze vennootschap (Limited company),F - Bouwnijverheid,41 - Bouw van gebouwen; ontwikkeling van bouwprojecten, ,,, ,Ontwikkelaars,Simplebim,6_Suspect OVZ,2_middenlange termijn (6-12m),Landegemstraat 10,,,,,,,,,
Exact,293,Stad Mortsel,293 - Stad Mortsel,Factuur,0,1,1,Inactieve klant,Klant,Klopt: inactieve klant,Inactieve klant,,Mortsel,België,V, ,Joachim Walgrave, , ,,,O - Openbaar bestuur en defensie; verplichte sociale verzekeringen,84 - Openbaar bestuur en defensie; verplichte sociale verzekeringen, ,,www.mortsel.be, ,Overheden,Simplebim,6_Suspect OVZ,2_middenlange termijn (6-12m),Stadsplein 1,,,,,,,mortsel,,
Exact,435,Groep Archo-architecten,435 - Groep Archo-architecten,Factuur,0,1,0,Inactieve klant,Klant,Klopt: inactieve klant,Inactieve klant,,Antwerpen,België,V, ,Ann Vandevelde, , ,,,M - Vrije beroepen en wetenschappelijke en technische activiteiten,71 - Architecten en ingenieurs; technische testen en toetsen, ,,www.archo.be, ,Architecten,Techniekenstudies,,,Jan Denucéstraat 13,10 - 19 medewerkers,,,,,,archo,,
Exact,272,ANTEA BELGIUM,272 - ANTEA BELGIUM,Factuur,0,1,1,Inactieve klant,Klant,Klopt: inactieve klant,Inactieve klant,,Antwerpen,België,V, ,Jan Boonen, , ,,,M - Vrije beroepen en wetenschappelijke en technische activiteiten,71 - Architecten en ingenieurs; technische testen en toetsen, ,,www.anteagroup.be, ,Studiebureaus,Simplebim,5_Prospect OVZ,1_Korte termijn (0-6m),Roderveldlaan 1,,,,,,,anteagroup,,
Exact,289,Hogeschool West-Vlaanderen,289 - Hogeschool West-Vlaanderen,Factuur,0,0,0,Klant,Klant,Klopt: klant,Klant ,,Kortrijk,België,V, ,Ruben Van De Walle, , ,,,P - Onderwijs,85 - Onderwijs, ,,, ,Onderwijs,Simplebim,6_Suspect OVZ,1_Korte termijn (0-6m),Marksesteenweg 58,,,,,,,,,
Exact,301,SMET GWT EUROPE,301 - SMET GWT EUROPE,Factuur,1,0,0,Klant,Klant,Klopt: klant,Klant ,,Dessel,België,V, ,Seppe Verheyen, , ,,,F - Bouwnijverheid,43 - Gespecialiseerde bouwwerkzaamheden, ,,, ,Aannemers,Simplebim,6_Suspect OVZ,1_Korte termijn (0-6m),Kastelsedijk 64,,,,,,,,,
Exact,306,"Stefan Van Tricht & Walter Geeraerts, geassocieerd","306 - Stefan Van Tricht & Walter Geeraerts, geassocieerd",Factuur,0,0,0,Klant,Klant,Klopt: klant,Klant ,,Schoten,België,V, ,Stefan Van Tricht, , ,,,M - Vrije beroepen en wetenschappelijke en technische activiteiten,69 - Rechtskundige en boekhoudkundige dienstverlening, ,,, ,Geen doelgroep,Techniekenstudies,,,Paalstraat 110,,,,,,,,,
Exact,410,TAB ARCHITECTS - BAROZZI VEIGA - BARBARA VAN DER W,410 - TAB ARCHITECTS - BAROZZI VEIGA - BARBARA VAN DER W,Factuur,1,0,0,Klant,Klant,Klopt: klant,Klant ,,Gent,België,V, ,Bert Bultereys, , ,,,M - Vrije beroepen en wetenschappelijke en technische activiteiten,71 - Architecten en ingenieurs; technische testen en toetsen, ,,www.tab.be, ,Architecten,Techniekenstudies,,,Blekersdijk 33,5 - 9 medewerkers,,,,,,tab,,
Exact,502,D'HULST,502 - D'HULST,Factuur,1,1,1,Klant,Klant,Klopt: klant,Inactieve klant,,Lier,België,V, ,Filip Verschueren, , ,,TA kent iemand die als projectleider er werktRechtsvorm: Naamloze vennootschap (Limited company),F - Bouwnijverheid,41 - Bouw van gebouwen; ontwikkeling van bouwprojecten, ,,www.dhulst.be/, ,Aannemers,Simplebim,5_Prospect OVZ,1_Korte termijn (0-6m),Antwerpsesteenweg 65,,,,,,DHULST',dhulst,Bouw - Woningbouw,
Exact,505,VERELST INTERNATIONAL,505 - VERELST INTERNATIONAL,Factuur,3,0,0,Klant,Klant,Klopt: klant,Klant ,,Putte,België,V, ,Ellen Vreys, , ,,Doet AA en ONT. Enkel contactformulier in te vullen.,F - Bouwnijverheid,41 - Bouw van gebouwen; ontwikkeling van bouwprojecten, ,,www.verelst.be/building, ,Aannemers,Simplebim,4_Klant OVZ,1_Korte termijn (0-6m),KMO-Zone Klein Boom 15,,,,BEDRIJFSBOUW EN PROJECTBOUW VERELST,,,verelst,,
Exact,543,EQUANS SA,543 - EQUANS SA,Factuur,1,0,1,Klant,Klant,Klopt: klant,Klant ,,Saint-Josse-ten-Noode,België,V, ,Matthew Limpens, , ,,Rechtsvorm: Naamloze vennootschap (Limited company),F - Bouwnijverheid,43 - Gespecialiseerde bouwwerkzaamheden, ,,, ,Aannemers,Simplebim,5_Prospect OVZ,,Koning Albert II Laan 19,,,,,,EQUANS,,Bouw van infrastructuur,
Exact,549,ENERDO,549 - ENERDO,Factuur,3,2,0,Klant,Klant,Klopt: klant,Klant ,,Lummen,België,V, ,Bert Potargent, , ,,Rechtsvorm: Besloten vennootschap (Private Limited Company),M - Vrije beroepen en wetenschappelijke en technische activiteiten,71 - Architecten en ingenieurs; technische testen en toetsen, ,,, ,Studiebureaus,Simplebim,5_Prospect OVZ,2_middenlange termijn (6-12m),Oostereindestraat 31,,,,,,,,,
Exact,607,TM Hye-Fabricom (droogdok),607 - TM Hye-Fabricom (droogdok),Factuur,1,0,0,Klant,Klant,Klopt: klant,Klant ,,Zwijndrecht,België,V, ,Alexander Van Sanden, , ,,Rechtsvorm: Naamloze vennootschap (Limited company),F - Bouwnijverheid,43 - Gespecialiseerde bouwwerkzaamheden, ,,, ,Aannemers,Simplebim,5_Prospect OVZ,2_middenlange termijn (6-12m),Kruibeeksesteenweg 162,,,,,,,,,
Exact,614,Katholieke Scholen aan de Schelde,614 - Katholieke Scholen aan de Schelde,Factuur,0,0,0,Klant,Klant,Klopt: klant,Klant ,,Kruibeke,België,V, ,boekhouding KSAS, , ,,Rechtsvorm: Vereniging zonder winstoogmerk (Not-for-profit association),P - Onderwijs,85 - Onderwijs, ,,, ,Onderwijs,Techniekenstudies,,,Langestraat 14,,,,,,,,,
Exact,623,KARUUR ARCHITECTEN,623 - KARUUR ARCHITECTEN,Factuur,3,1,1,Klant,Klant,Klopt: klant,Klant ,,Antwerpen,België,V, ,Thomas Feyen, , ,,Rechtsvorm: Besloten vennootschap met beperkte aansprakelijkheid (Private limited liability company),M - Vrije beroepen en wetenschappelijke en technische activiteiten,71 - Architecten en ingenieurs; technische testen en toetsen, ,,www.karuurarchitecten.be/, ,Architecten,Techniekenstudies,,,Lange Van Bloerstraat 80,,,,,,,karuurarchitecten,,
Exact,653,"STUDIO KLEIN BRABANT, ARCHITECTUUR EN INTERIEUR","653 - STUDIO KLEIN BRABANT, ARCHITECTUUR EN INTERIEUR",Factuur,4,3,3,Klant,Klant,Klopt: klant,Klant ,,Bornem,België,V, ,Ignace Pollentier, , ,,Rechtsvorm: Besloten vennootschap met beperkte aansprakelijkheid (Private limited liability company),M - Vrije beroepen en wetenschappelijke en technische activiteiten,71 - Architecten en ingenieurs; technische testen en toetsen, ,,, ,Architecten,Techniekenstudies,,,Barelstraat 109 B,,,,,,,,,
Exact,670,Denys,670 - Denys,Factuur,1,0,1,Klant,Klant,Klopt: klant,Klant ,,Gent,België,V, ,Mattias Van de Merlen, , ,,Rechtsvorm: Naamloze vennootschap (Limited company),F - Bouwnijverheid,41 - Bouw van gebouwen; ontwikkeling van bouwprojecten, ,,, ,Aannemers,Simplebim,5_Prospect OVZ,1_Korte termijn (0-6m),Industrieweg 124,,,,,,Denys,,Bouw - Bouw van infrastructuur,
Exact,741,EVOLTA ENGINEERS,741 - EVOLTA ENGINEERS,Factuur,2,0,4,Klant,Klant,Klopt: klant,Klant ,,Bruxelles,België,V, ,Joost Swinnen, , ,,Rechtsvorm: Naamloze vennootschap (Limited company),M - Vrije beroepen en wetenschappelijke en technische activiteiten,71 - Architecten en ingenieurs; technische testen en toetsen, ,,www.evolta.be, ,Studiebureaus,Simplebim,5_Prospect OVZ,1_Korte termijn (0-6m),Avenue du Port 86c,,,,,,,evolta,,
Exact,753,ESTABLIS GROUP,753 - ESTABLIS GROUP,Factuur,1,0,0,Klant,Klant,Klopt: klant,Klant ,,Roeselare,België,V, ,Frederik Moortgat, , ,,Rechtsvorm: Besloten vennootschap (Private Limited Company)Rechtsvorm: Besloten vennootschap (Private Limited Company),M - Vrije beroepen en wetenschappelijke en technische activiteiten,71 - Architecten en ingenieurs; technische testen en toetsen, ,,www.establis.eu/nl, ,Studiebureaus,Simplebim,5_Prospect OVZ,1_Korte termijn (0-6m),Beversesteenweg 612,,,,,,,establis,,
Exact,786,LIVING IN FUNKY ENVIRONMENTS NV,786 - LIVING IN FUNKY ENVIRONMENTS NV,Factuur,1,0,0,Klant,Klant,Klopt: klant,Klant ,,Antwerpen,België,V, ,Rob Anthonissen, , ,,Rechtsvorm: Naamloze vennootschap (Limited company),F - Bouwnijverheid,41 - Bouw van gebouwen; ontwikkeling van bouwprojecten, ,,, ,Ontwikkelaars,Techniekenstudies,6_Suspect OVZ,2_middenlange termijn (6-12m),Mechelsesteenweg 271,,,,,,,,,
Exact,888,Bovenbouw Architectuur,888 - Bovenbouw Architectuur,Factuur,1,0,0,Klant,Klant,Klopt: klant,Klant ,,Antwerpen,België,V, ,Alba Tavares Vanhoutte, , ,,Rechtsvorm: Eenpersoons besloten vennootschap met beperkte aansprakelijkheid (Single-member limited liability company),M - Vrije beroepen en wetenschappelijke en technische activiteiten,71 - Architecten en ingenieurs; technische testen en toetsen, ,,www.bovenbouw.be/, ,Architecten,Simplebim,6_Suspect OVZ,,Cadixstraat 39,,,,,,,bovenbouw,,
Exact,949,ANKERWIJS,949 - ANKERWIJS,Factuur,0,0,0,Klant,Klant,Klopt: klant,Klant ,,Antwerpen,België,V, ,Veerle Maesen, , ,,Rechtsvorm: Vereniging zonder winstoogmerk (Not-for-profit association),P - Onderwijs,85 - Onderwijs, ,,, ,Onderwijs,Techniekenstudies,,,Jan Moorkensstraat 54,,,,,,,,,
